figure_id,panel_id,basename,path_png,path_pdf,driver_script,width_in,height_in,dpi_png,theme_notes,isme_notes,last_audit_date,audit_flags,bundle_rds_rel,refresh_mode
Figure 1,1.1,ExperimentalDesignSchematic,Data/Context/ExperimentalDesignSchematic.png,Data/Context/ExperimentalDesignSchematic.pdf,external_design_asset,NA,NA,NA,Non-R vector or layout tool; align colors with treatment_color_scale in Code/00__Setup/02__PlotSettings.R,Verify PDF font embedding and vector paths; match factor colors to ggplot outputs,2026-04-24,external_asset;color_crosscheck,NA,external
Table 1,1.0,ExposureSchematic,Data/Context/ExposureSchematic.png,NA,external_design_asset,NA,NA,NA,Non-R table or layout; eight exposure regimes + prior history,Cross-check regime hex against treatment_colors and prior_stressor_history_colors_numeric,2026-04-24,external_asset;color_crosscheck,NA,external
Figure 2,2.1,genus_relative_abundance_by_treatment,Results/02__Composition/Figures/genus_relative_abundance_by_treatment.png,Results/02__Composition/Figures/genus_relative_abundance_by_treatment.pdf,Code/01__Analysis/02__Composition.R,10,9,300,theme_sieler2026_composition_layers + custom text 14; microViz comp_barplot,ISME: composite Fig 2 has four panels counts as two figures if journal applies >3-panel rule; prefer PDF for submission,2026-04-24,composite_four_panels,Results/02__Composition/Stats/composition__gut__bundle.rds,bundle_ggplot
Figure 2,2.2,simpson_diversity_trend_quasirandom,Results/01__Diversity/Figures/simpson_diversity_trend_quasirandom.png,Results/01__Diversity/Figures/simpson_diversity_trend_quasirandom.pdf,Code/01__Analysis/01__Diversity.R,6,6,300,theme_sieler2026_publication + theme_sieler2026_trend_panel_grid_major_y; prior stressor fill prior_stressor_history_colors_numeric; export 6×6 in to match Fig 4.1–4.2 quasirandom trend panels (same mm point sizes read larger relative to axes than 8×8),Same composite note as Fig 2.1,2026-04-25,composite_four_panels,Results/01__Diversity/Stats/diversity__gut__bundle.rds,bundle_ggplot
Figure 2,2.3,pcoa_bray_stress_history_parasite,Results/02__Composition/Figures/pcoa_bray_stress_history_parasite.png,Results/02__Composition/Figures/pcoa_bray_stress_history_parasite.pdf,Code/01__Analysis/02__Composition.R,9,9,300,theme_sieler2026_composition_layers + major x + minor x/y; history_color_scale; Bray-Curtis PCoA (stress history × parasite),Same composite note as Fig 2.1,2026-04-25,composite_four_panels,Results/02__Composition/Stats/composition__gut__bundle.rds,bundle_ggplot
Figure 2,2.4,betadisper_bray_stress_history_parasite,Results/02__Composition/Figures/betadisper_bray_stress_history_parasite.png,Results/02__Composition/Figures/betadisper_bray_stress_history_parasite.pdf,Code/01__Analysis/02__Composition.R,9,9,300,theme_sieler2026_composition_figure; Bray on Canberra workflow section,Same composite note as Fig 2.1,2026-04-24,composite_four_panels,Results/02__Composition/Stats/composition__gut__bundle.rds,bundle_ggplot
Figure 3,3.1,significant_genes_by_treatment_bar,Results/04__DiffGeneExp/Figures/significant_genes_by_treatment_bar.png,Results/04__DiffGeneExp/Figures/significant_genes_by_treatment_bar.pdf,Code/01__Analysis/04__DiffGeneExp.R,14,5.75,300,theme_sieler2026_publication,Single panel; production PDF for text clarity,2026-04-24,,Results/04__DiffGeneExp/Stats/fig31_significant_genes_by_treatment_bar.rds,driver_figures_only
Figure 4,4.1,mortality_prior_stressor_trend_square_quasirandom,Results/05__Mort-Inf/Figures/mortality_prior_stressor_trend_square_quasirandom.png,Results/05__Mort-Inf/Figures/mortality_prior_stressor_trend_square_quasirandom.pdf,Code/01__Analysis/05__Mort-Inf.R,6,6,300,glmm_binomial_tank_history_numeric_trend_plot + theme_sieler2026_publication + theme_sieler2026_trend_panel_grid_major_y,Prior stressor colors unified with composition figures,2026-04-25,composite_four_panels,Results/05__Mort-Inf/Stats/mortinf_main_text_figure_ggplots.rds,driver_figures_only
Figure 4,4.2,infection_prevalence_trend_predicted_square_quasirandom,Results/05__Mort-Inf/Figures/infection_prevalence_trend_predicted_square_quasirandom.png,Results/05__Mort-Inf/Figures/infection_prevalence_trend_predicted_square_quasirandom.pdf,Code/01__Analysis/05__Mort-Inf.R,6,6,300,same helper as 4.1 (includes trend y-major grid),Same as 4.1,2026-04-25,composite_four_panels,Results/05__Mort-Inf/Stats/mortinf_main_text_figure_ggplots.rds,driver_figures_only
Figure 5,5.1,maaslin_mortality_top_taxa_scatter_combined__Tank,Results/03__DiffAbund/Figures/maaslin_mortality_top_taxa_scatter_combined__Tank.png,Results/03__DiffAbund/Figures/maaslin_mortality_top_taxa_scatter_combined__Tank.pdf,Code/01__Analysis/03__DiffAbund.R,8,8,300,theme_sieler2026_publication_with_grid,Points + LM ribbons; exposure regime colors from treatment_color_scale,2026-04-24,,Results/03__DiffAbund/Tables/mortality_tank_taxon_log2abund_vs_percent__Tank.csv,driver_figures_only
Figure 5,5.2,all_sig_taxa_partial_cor_scatter,Results/06__Taxon-DEG-Mort/Figures/all_sig_taxa_partial_cor_scatter.png,Results/06__Taxon-DEG-Mort/Figures/all_sig_taxa_partial_cor_scatter.pdf,Code/01__Analysis/06__Taxon-DEG-Mort.R,9,7,300,theme_sieler2026_publication_with_grid,Two-panel figure 5; focal taxon outline colors consistent with 5.1 and functional dotplots,2026-04-24,,Results/06__Taxon-DEG-Mort/Stats/taxon_deg_mort__bundle.rds,bundle_ggplot
Figure 5,5.3,kegg_focal_four_dotplot,Results/07__FunctionalAnno/Figures/kegg_focal_four_dotplot.png,Results/07__FunctionalAnno/Figures/kegg_focal_four_dotplot.pdf,Code/01__Analysis/07__FunctionalAnno.R,12,9,300,theme_sieler2026_publication_with_grid,Fill = focal taxon; x = -log10(adj. p); x-axis capped at 5 with outlier labels (Proteasome),2026-06-26,,Results/07__FunctionalAnno/Stats/functional_anno__bundle.rds,bundle_ggplot
Figure 6,6.1,neutral_model_Time60__Genus__focal_four_genera,Results/08__NeutralModel/Figures/neutral_model_Time60__Genus__focal_four_genera.png,Results/08__NeutralModel/Figures/neutral_model_Time60__Genus__focal_four_genera.pdf,Code/01__Analysis/08__NeutralModel.R,8,6.5,300,theme_sieler2026_publication + neutral_plot_legend_theme,PNG export dpi set to 300 for main-text alignment; verify taxon_id spelling in input data,2026-04-24,,Results/08__NeutralModel/Stats/neutral_model__bundle.rds,bundle_ggplot
